schemeLabel,maskLabel,r,g,b
green,highlight2,254,231,97
green,highlight,99,199,77
green,core,62,137,72
green,shadow,38,92,66
green,shadow2,58,68,102
green,shadow3,38,43,68
dgreen,highlight2,99,199,77
dgreen,highlight,62,137,72
dgreen,core,38,92,66
dgreen,shadow,58,68,102
dgreen,shadow2,38,43,68
dgreen,shadow3,24,20,37
red,highlight2,246,117,122
red,highlight,228,59,68
red,core,162,38,51
red,shadow,115,62,57
red,shadow2,62,39,49
red,shadow3,24,20,37
blue,highlight2,44,232,245
blue,highlight,0,153,219
blue,core,18,78,137
blue,shadow,58,68,102
blue,shadow2,38,43,68
blue,shadow3,24,20,37
purple,highlight2,234,212,170
purple,highlight,246,117,122
purple,core,181,80,136
purple,shadow,104,56,108
purple,shadow2,25,60,62
purple,shadow3,38,43,68
yellow,highlight2,255,255,255
yellow,highlight,254,231,97
yellow,core,254,174,52
yellow,shadow,215,118,67
yellow,shadow2,181,80,136
yellow,shadow3,104,56,108
orange,highlight2,254,231,97
orange,highlight,254,174,52
orange,core,247,118,34
orange,shadow,190,74,47
orange,shadow2,115,62,57
orange,shadow3,62,39,49
brown,highlight2,234,212,170
brown,highlight,228,166,114
brown,core,184,11,80
brown,shadow,115,62,57
brown,shadow2,62,39,49
brown,shadow3,24,20,37
grey,highlight2,192,203,220
grey,highlight,139,155,180
grey,core,90,105,136
grey,shadow,58,68,102
grey,shadow2,38,43,68
grey,shadow3,24,20,37
lgrey,highlight2,255,255,255
lgrey,highlight,192,203,220
lgrey,core,139,155,180
lgrey,shadow,90,105,136
lgrey,shadow2,58,68,102
lgrey,shadow3,38,43,68
metal,highlight2,255,255,255
metal,highlight,192,203,220
metal,core,139,155,180
metal,shadow,58,68,102
metal,shadow2,38,43,68
metal,shadow3,24,20,37
